일자,ALL(1),ALL(FIN),아제(1),아제(FIN),화이자(1),화이자(FIN),얀센,모더나
2021-02-26 00:00:00,20308,0,20308,0,0,0,0,0
2021-02-27 00:00:00,21732,0,21414,0,318,0,0,0
2021-02-28 00:00:00,22596,0,21991,0,605,0,0,0
2021-03-01 00:00:00,24071,0,23173,0,898,0,0,0
2021-03-02 00:00:00,90484,0,88957,0,1527,0,0,0
2021-03-03 00:00:00,159920,0,157173,0,2747,0,0,0
2021-03-04 00:00:00,230259,0,226345,0,3914,0,0,0
2021-03-05 00:00:00,300713,0,295404,0,5309,0,0,0
2021-03-06 00:00:00,318721,0,313412,0,5309,0,0,0
2021-03-07 00:00:00,320796,0,315487,0,5309,0,0,0
2021-03-08 00:00:00,388225,0,381750,0,6475,0,0,0
2021-03-09 00:00:00,451597,0,442977,0,8620,0,0,0
2021-03-10 00:00:00,505612,0,492066,0,13546,0,0,0
2021-03-11 00:00:00,550055,0,529375,0,20680,0,0,0
2021-03-12 00:00:00,588145,0,561206,0,26939,0,0,0
2021-03-13 00:00:00,591980,0,564495,0,27485,0,0,0
2021-03-14 00:00:00,593150,0,565599,0,27551,0,0,0
2021-03-15 00:00:00,605601,0,577435,0,28166,0,0,0
2021-03-16 00:00:00,624429,0,589621,0,34808,0,0,0
2021-03-17 00:00:00,644213,0,599447,0,44766,0,0,0
2021-03-18 00:00:00,663495,0,609773,0,53722,0,0,0
2021-03-19 00:00:00,680298,0,620447,0,59851,0,0,0
2021-03-20 00:00:00,681533,313,620694,0,60839,313,0,0
2021-03-21 00:00:00,681533,593,620694,0,60839,593,0,0
2021-03-22 00:00:00,685203,883,624339,0,60864,883,0,0
2021-03-23 00:00:00,706965,1498,646100,0,60865,1498,0,0
2021-03-24 00:00:00,737472,2692,676607,1,60865,2691,0,0
2021-03-25 00:00:00,771875,3834,711005,1,60870,3833,0,0
2021-03-26 00:00:00,796641,5233,735769,1,60872,5232,0,0
2021-03-27 00:00:00,797922,5233,737050,1,60872,5232,0,0
2021-03-28 00:00:00,797967,5233,737095,1,60872,5232,0,0
2021-03-29 00:00:00,825888,6152,765016,1,60872,6151,0,0
2021-03-30 00:00:00,855851,8188,794972,1,60879,8187,0,0
2021-03-31 00:00:00,879953,12977,819049,3,60904,12974,0,0
2021-04-01 00:00:00,917498,20244,837469,3,80029,20241,0,0
2021-04-02 00:00:00,956982,26840,856839,4,100143,26836,0,0
2021-04-03 00:00:00,965566,27384,859255,4,106311,27380,0,0
2021-04-04 00:00:00,966196,27450,859314,4,106882,27446,0,0
2021-04-05 00:00:00,1003096,27767,873787,5,129309,27762,0,0
2021-04-06 00:00:00,1041956,33511,890166,5,151790,33506,0,0
2021-04-07 00:00:00,1079613,42752,906934,7,172679,42745,0,0
2021-04-08 00:00:00,1116776,52252,914155,7,202621,52245,0,0
2021-04-09 00:00:00,1150423,59538,918323,7,232100,59531,0,0
2021-04-10 00:00:00,1159221,60627,918885,7,240336,60620,0,0
2021-04-11 00:00:00,1159526,60627,918885,7,240641,60620,0,0
2021-04-12 00:00:00,1197840,60652,926369,7,271471,60645,0,0
2021-04-13 00:00:00,1242235,60656,939466,8,302769,60648,0,0
2021-04-14 00:00:00,1288800,60659,954395,9,334405,60650,0,0
2021-04-15 00:00:00,1382584,60662,974618,10,407966,60652,0,0
2021-04-16 00:00:00,1486102,60862,1001539,204,484563,60658,0,0
2021-04-17 00:00:00,1515512,60862,1002886,204,512626,60658,0,0
2021-04-18 00:00:00,1520378,60862,1002888,204,517490,60658,0,0
2021-04-19 00:00:00,1643340,60864,1046948,205,596392,60659,0,0
2021-04-20 00:00:00,1774704,60877,1096105,207,678599,60670,0,0
2021-04-21 00:00:00,1907361,60903,1144363,207,762998,60696,0,0
2021-04-22 00:00:00,2039260,79444,1198026,215,841234,79229,0,0
2021-04-23 00:00:00,2199495,99060,1281374,216,918121,98844,0,0
2021-04-24 00:00:00,2264601,104833,1315532,220,949069,104613,0,0
2021-04-25 00:00:00,2270889,105200,1316692,220,954197,104980,0,0
2021-04-26 00:00:00,2413707,126803,1374141,221,1039566,126582,0,0
2021-04-27 00:00:00,2590711,148593,1447502,226,1143209,148367,0,0
2021-04-28 00:00:00,2822844,169038,1547954,246,1274890,168792,0,0
2021-04-29 00:00:00,3085136,199078,1669069,282,1416067,198796,0,0
2021-04-30 00:00:00,3362134,228835,1810897,440,1551237,228395,0,0
2021-05-01 00:00:00,3402285,236548,1834983,441,1567302,236107,0,0
2021-05-02 00:00:00,3403846,236862,1835282,454,1568564,236408,0,0
2021-05-03 00:00:00,3489995,267443,1886099,511,1603896,266932,0,0
2021-05-04 00:00:00,3564771,298682,1930425,635,1634346,298047,0,0
2021-05-05 00:00:00,3570112,323994,1931056,635,1639056,323359,0,0
2021-05-06 00:00:00,3627583,397512,1977916,672,1649667,396840,0,0
2021-05-07 00:00:00,3675579,474328,2016446,830,1659133,473498,0,0
2021-05-08 00:00:00,3687687,501875,2025756,843,1661931,501032,0,0
2021-05-09 00:00:00,3687690,506610,2025756,844,1661934,505766,0,0
2021-05-10 00:00:00,3701150,584186,2032753,922,1668397,583264,0,0
2021-05-11 00:00:00,3709689,664980,2036912,1108,1672777,663872,0,0
2021-05-12 00:00:00,3715779,747876,2040231,1364,1675548,746512,0,0
2021-05-13 00:00:00,3724414,825873,2043666,1861,1680748,824012,0,0
2021-05-14 00:00:00,3735311,905999,2047415,6030,1687896,899969,0,0
2021-05-15 00:00:00,3736605,936159,2047458,6597,1689147,929562,0,0
2021-05-16 00:00:00,3736612,941147,2047458,6598,1689154,934549,0,0
2021-05-17 00:00:00,3749977,1041526,2050315,22734,1699662,1018792,0,0
2021-05-18 00:00:00,3762443,1183420,2053838,63050,1708605,1120370,0,0
2021-05-19 00:00:00,3764258,1276491,2053964,63951,1710294,1212540,0,0
2021-05-20 00:00:00,3776510,1487729,2058725,130524,1717785,1357205,0,0
2021-05-21 00:00:00,3790932,1713200,2064113,217693,1726819,1495507,0,0
2021-05-22 00:00:00,3796063,1748962,2064752,233957,1731311,1515005,0,0
2021-05-23 00:00:00,3796281,1751668,2064756,234269,1731525,1517399,0,0
2021-05-24 00:00:00,3868108,1856672,2068592,292625,1799516,1564047,0,0
2021-05-25 00:00:00,3946327,1950155,2073044,351002,1873283,1599153,0,0
2021-05-26 00:00:00,4034034,2017836,2076824,404546,1957210,1613290,0,0
2021-05-27 00:00:00,4695840,2073027,2656602,447924,2039238,1625103,0,0
2021-05-28 00:00:00,5240719,2138221,3125012,501534,2115707,1636687,0,0
2021-05-29 00:00:00,5405334,2147101,3274240,507876,2131094,1639225,0,0
2021-05-30 00:00:00,5410063,2147188,3278236,507963,2131827,1639225,0,0
2021-05-31 00:00:00,5796954,2174499,3563284,526949,2233670,1647550,0,0
2021-06-01 00:00:00,6364498,2200905,4023743,548018,2340755,1652887,0,0
2021-06-02 00:00:00,6747468,2223660,4301436,567398,2446032,1656262,0,0
2021-06-03 00:00:00,7091385,2249411,4551351,587876,2540034,1661535,0,0
2021-06-04 00:00:00,7460434,2279334,4836485,610982,2623949,1668352,0,0
2021-06-05 00:00:00,7600517,2281701,4953366,612135,2647151,1669566,0,0
2021-06-06 00:00:00,7603485,2281701,4955574,612135,2647911,1669566,0,0
2021-06-07 00:00:00,8498180,2302330,5707561,621717,2790619,1680613,0,0
2021-06-08 00:00:00,9244787,2328089,6318644,638150,2926143,1689939,0,0
2021-06-09 00:00:00,9838879,2352608,6786139,659859,3052740,1692749,0,0
2021-06-10 00:00:00,10606440,2640459,7194430,687570,3159287,1700166,252723,0
2021-06-11 00:00:00,11433532,2877889,7721856,713605,3256905,1709513,454771,0
2021-06-12 00:00:00,11822555,2997086,7979291,714412,3274279,1713689,568985,0
2021-06-13 00:00:00,11850424,3009072,7994710,714428,3274958,1713888,580756,0
2021-06-14 00:00:00,12619923,3267845,8554630,735227,3312583,1779908,752710,0
2021-06-15 00:00:00,13267146,3477073,9038644,759613,3363369,1852327,865133,0
2021-06-16 00:00:00,13835580,3759947,9382616,782559,3410119,1934543,1042845,0
2021-06-17 00:00:00,14278850,3889459,9745582,804873,3464640,2015958,1068628,0
2021-06-18 00:00:00,14816068,4017274,10189688,826303,3526686,2091517,1099454,240
2021-06-19 00:00:00,15032395,4053287,10378038,828144,3535636,2106662,1118481,240
2021-06-20 00:00:00,15033008,4054423,10378049,828145,3535817,2107376,1118902,240
2021-06-21 00:00:00,15080446,4171895,10380687,843030,3576859,2206781,1122084,816
2021-06-22 00:00:00,15129241,4297277,10383803,860643,3619151,2312073,1124561,1726
2021-06-23 00:00:00,15173368,4417626,10386465,876612,3656613,2415361,1125653,4637
2021-06-24 00:00:00,15219020,4525513,10389259,890293,3695622,2509018,1126202,7937
2021-06-25 00:00:00,15282792,4622392,10392125,903524,3746508,2592246,1126622,17537
2021-06-26 00:00:00,15294017,4646047,10392153,904153,3756864,2615183,1126711,18289
2021-06-27 00:00:00,15294023,4646787,10392153,904153,3756864,2615917,1126717,18289
2021-06-28 00:00:00,15307277,4791353,10393278,912744,3764098,2751432,1127177,22724
2021-06-29 00:00:00,15324005,4936332,10394745,924992,3770620,2883496,1127844,30796
2021-06-30 00:00:00,15338709,5073362,10395686,937348,3778205,3007435,1128579,36239
2021-07-01 00:00:00,15343109,5193942,10396388,953545,3780349,3111257,1129140,37232
2021-07-02 00:00:00,15348143,5314732,10396957,976079,3782988,3209166,1129487,38711
2021-07-03 00:00:00,15349621,5331739,10396964,976853,3783389,3225184,1129702,39566
2021-07-04 00:00:00,15349621,5332385,10396964,976853,3783389,3225830,1129702,39566
2021-07-05 00:00:00,15404103,5408631,10397363,1013799,3834384,3265130,1129702,42654
2021-07-06 00:00:00,15442420,5499205,10397872,1056128,3867950,3313375,1129702,46896
2021-07-07 00:00:00,15477806,5588160,10398361,1099182,3898831,3359276,1129702,50912
2021-07-08 00:00:00,15515821,5694040,10398791,1150903,3931607,3413435,1129702,55721
2021-07-09 00:00:00,15574096,5841847,10399230,1234594,3982839,3477551,1129702,62325
2021-07-10 00:00:00,15586962,5881209,10399241,1266124,3995682,3485383,1129702,62337
2021-07-11 00:00:00,15587438,5882315,10399246,1267058,3996153,3485555,1129702,62337
2021-07-12 00:00:00,15618745,5975125,10399468,1320237,4027187,3525186,1129702,62388
2021-07-13 00:00:00,15726161,6084463,10399787,1387677,4134133,3567084,1129702,62539
2021-07-14 00:00:00,15837964,6204664,10400211,1470780,4244877,3604182,1129702,63174
2021-07-15 00:00:00,15960609,6326705,10400653,1567623,4367080,3629380,1129702,63174
